,id_x,mergecol_x,dummy,id_y,mergecol_y,distance
1,1,arnie morton's of chicago435 s. la cienega blv.los angeles310/246-1501american,1,2,arnie morton's of chicago435 s. la cienega blvd.los angeles310-246-1501steakhouses,12
863,2,arnie morton's of chicago435 s. la cienega blvd.los angeles310-246-1501steakhouses,1,1,arnie morton's of chicago435 s. la cienega blv.los angeles310/246-1501american,12
1729,3,art's delicatessen12224 ventura blvd.studio city818/762-1221american,1,4,art's deli12224 ventura blvd.studio city818-762-1221delis,15
2591,4,art's deli12224 ventura blvd.studio city818-762-1221delis,1,3,art's delicatessen12224 ventura blvd.studio city818/762-1221american,15
3457,5,hotel bel-air701 stone canyon rd.bel air310/472-1211californian,1,6,bel-air hotel701 stone canyon rd.bel air310-472-1211californian,13
4319,6,bel-air hotel701 stone canyon rd.bel air310-472-1211californian,1,5,hotel bel-air701 stone canyon rd.bel air310/472-1211californian,13
5185,7,cafe bizou14016 ventura blvd.sherman oaks818/788-3536french,1,8,cafe bizou14016 ventura blvd.sherman oaks818-788-3536french bistro,8
6047,8,cafe bizou14016 ventura blvd.sherman oaks818-788-3536french bistro,1,7,cafe bizou14016 ventura blvd.sherman oaks818/788-3536french,8
6913,9,campanile624 s. la brea ave.los angeles213/938-1447american,1,10,campanile624 s. la brea ave.los angeles213-938-1447californian,8
7775,10,campanile624 s. la brea ave.los angeles213-938-1447californian,1,9,campanile624 s. la brea ave.los angeles213/938-1447american,8
8641,11,chinois on main2709 main st.santa monica310/392-9025french,1,12,chinois on main2709 main st.santa monica310-392-9025pacific new wave,15
9503,12,chinois on main2709 main st.santa monica310-392-9025pacific new wave,1,11,chinois on main2709 main st.santa monica310/392-9025french,15
10369,13,citrus6703 melrose ave.los angeles213/857-0034californian,1,14,citrus6703 melrose ave.los angeles213-857-0034californian,1
10388,13,citrus6703 melrose ave.los angeles213/857-0034californian,1,33,patina5955 melrose ave.los angeles213/467-1108californian,15
10389,13,citrus6703 melrose ave.los angeles213/857-0034californian,1,34,patina5955 melrose ave.los angeles213-467-1108californian,16
11231,14,citrus6703 melrose ave.los angeles213-857-0034californian,1,13,citrus6703 melrose ave.los angeles213/857-0034californian,1
11251,14,citrus6703 melrose ave.los angeles213-857-0034californian,1,33,patina5955 melrose ave.los angeles213/467-1108californian,16
11252,14,citrus6703 melrose ave.los angeles213-857-0034californian,1,34,patina5955 melrose ave.los angeles213-467-1108californian,15
13825,17,granita23725 w. malibu rd.malibu310/456-0488californian,1,18,granita23725 w. malibu rd.malibu310-456-0488californian,1
14687,18,granita23725 w. malibu rd.malibu310-456-0488californian,1,17,granita23725 w. malibu rd.malibu310/456-0488californian,1
22465,27,locanda veneta3rd st.los angeles310/274-1893italian,1,28,locanda veneta8638 w. third st.los angeles310-274-1893italian,11
23327,28,locanda veneta8638 w. third st.los angeles310-274-1893italian,1,27,locanda veneta3rd st.los angeles310/274-1893italian,11
24193,29,matsuhisa129 n. la cienega blvd.beverly hills310/659-9639asian,1,30,matsuhisa129 n. la cienega blvd.beverly hills310-659-9639seafood,7
25055,30,matsuhisa129 n. la cienega blvd.beverly hills310-659-9639seafood,1,29,matsuhisa129 n. la cienega blvd.beverly hills310/659-9639asian,7
27628,33,patina5955 melrose ave.los angeles213/467-1108californian,1,13,citrus6703 melrose ave.los angeles213/857-0034californian,15
27629,33,patina5955 melrose ave.los angeles213/467-1108californian,1,14,citrus6703 melrose ave.los angeles213-857-0034californian,16
27649,33,patina5955 melrose ave.los angeles213/467-1108californian,1,34,patina5955 melrose ave.los angeles213-467-1108californian,1
28491,34,patina5955 melrose ave.los angeles213-467-1108californian,1,13,citrus6703 melrose ave.los angeles213/857-0034californian,16
28492,34,patina5955 melrose ave.los angeles213-467-1108californian,1,14,citrus6703 melrose ave.los angeles213-857-0034californian,15
28511,34,patina5955 melrose ave.los angeles213-467-1108californian,1,33,patina5955 melrose ave.los angeles213/467-1108californian,1
32833,39,rex il ristorante617 s. olive st.los angeles213/627-2300italian,1,40,rex il ristorante617 s. olive st.los angeles213-627-2300nuova cucina italian,14
33695,40,rex il ristorante617 s. olive st.los angeles213-627-2300nuova cucina italian,1,39,rex il ristorante617 s. olive st.los angeles213/627-2300italian,14
36289,43,valentino3115 pico blvd.santa monica310/829-4313italian,1,44,valentino3115 pico blvd.santa monica310-829-4313italian,1
37151,44,valentino3115 pico blvd.santa monica310-829-4313italian,1,43,valentino3115 pico blvd.santa monica310/829-4313italian,1
39745,47,21 club21 w. 52nd st.new york212/582-7200american,1,48,21 club21 w. 52nd st.new york city212-582-7200american (new),12
40086,47,21 club21 w. 52nd st.new york212/582-7200american,1,389,judson grill152 w. 52nd st.new york212/582-5252american,16
40607,48,21 club21 w. 52nd st.new york city212-582-7200american (new),1,47,21 club21 w. 52nd st.new york212/582-7200american,12
41274,48,21 club21 w. 52nd st.new york city212-582-7200american (new),1,715,arcadia21 e. 62nd st.new york city212-223-2900american (new),14
41473,49,aquavit13 w. 54th st.new york212/307-7311continental,1,50,aquavit13 w. 54th st.new york city212-307-7311scandinavian,13
42335,50,aquavit13 w. 54th st.new york city212-307-7311scandinavian,1,49,aquavit13 w. 54th st.new york212/307-7311continental,13
43201,51,aureole34 e. 61st st.new york212/ 319-1660american,1,52,aureole34 e. 61st st.new york city212-319-1660american (new),13
44063,52,aureole34 e. 61st st.new york city212-319-1660american (new),1,51,aureole34 e. 61st st.new york212/ 319-1660american,13
44929,53,cafe lalo201 w. 83rd st.new york212/496-6031coffee bar,1,54,cafe lalo201 w. 83rd st.new york city212-496-6031coffeehouses,12
45791,54,cafe lalo201 w. 83rd st.new york city212-496-6031coffeehouses,1,53,cafe lalo201 w. 83rd st.new york212/496-6031coffee bar,12
53569,63,daniel20 e. 76th st.new york212/288-0033french,1,64,daniel20 e. 76th st.new york city212-288-0033french (new),12
53856,63,daniel20 e. 76th st.new york212/288-0033french,1,351,ferrier29 e. 65th st.new york212/772-9000french,14
54431,64,daniel20 e. 76th st.new york city212-288-0033french (new),1,63,daniel20 e. 76th st.new york212/288-0033french,12
55297,65,dawat210 e. 58th st.new york212/355-7555asian,1,66,dawat210 e. 58th st.new york city212-355-7555indian,9
55539,65,dawat210 e. 58th st.new york212/355-7555asian,1,308,bruno240 e. 58th st.new york212/688-4190italian,16
55562,65,dawat210 e. 58th st.new york212/355-7555asian,1,331,chiam160 e. 48th st.new york212/371-2323asian,13
